,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Summerhill Station,0.004940711462450594,-0.0004940711462450595,0.001976284584980237,0.0,-0.001976284584980237,-0.0014822134387351778,-0.012845849802371537,-0.007411067193675889,-0.047430830039525695,0.0004940711462450583,-0.007905138339920948,-0.004446640316205535,-0.013833992094861655,-0.006422924901185771,-0.0024703557312252965,1.5084551965015713e-19,-0.013833992094861655,-0.048913043478260886,-0.01630434782608695,-0.017786561264822125,-0.0009881422924901185,-0.012351778656126479,0.0034584980237154154,0.008399209486166006
Union Station,-0.011070853462157798,-0.005837359098228659,-0.002012882447665056,-0.0024154589371980675,0.00925925925925925,0.022946859903381682,0.06924315619967757,-0.2896537842190066,-0.0992351046698869,-0.03683574879227063,-0.01207729468599033,0.01570048309178745,0.03421900161030605,0.039653784219001724,0.04388083735909835,0.24335748792270903,0.5523349436393039,0.32487922705314615,0.08977455716586086,0.005837359098228658,0.0014090177133655388,-0.012278582930756838,-0.04267310789049932,-0.029186795491143384
Beverly  St / Dundas St W,0.005434782608695649,0.008506616257088843,3.0169103930031427e-19,-0.0014177693761814744,-0.001181474480151229,-0.0037807183364839307,-0.013468809073724011,-0.014413988657845,0.07254253308128511,-0.00023629489603024543,0.017485822306238206,0.03331758034026474,0.035680529300567206,0.010869565217391299,-0.014650283553875246,-0.009688090737240071,0.002599243856332703,0.014177693761814752,0.0033081285444234395,-0.010396975425330805,-0.03355387523629499,-0.026937618147448078,0.006616257088846877,0.00803402646502835
East Liberty St / Pirandello St,0.0031464530892448515,0.0045766590389016,0.007437070938215098,0.002002288329519451,-0.0002860411899313501,-0.002574370709382151,-0.03175057208237984,-0.11155606407322692,-0.34754004576659747,-0.0715102974828373,-0.03060640732265444,-0.028604118993135,-0.0002860411899313507,0.0020022883295194513,0.005434782608695649,0.03146453089244849,0.16390160183066546,0.23455377574371095,0.03661327231121276,0.009725400457665895,0.017448512585812367,0.02774599542334095,0.011727688787185348,0.008009153318077798
Lakeshore Blvd W / The Boulevard Club,-0.0031464530892448515,-0.0002860411899313501,0.0002860411899313501,0.0,0.0,0.0002860411899313501,0.0002860411899313501,0.0014302059496567505,0.0017162471395881012,0.0,0.0051487414187643,0.001144164759725401,0.011727688787185348,-0.0005720823798626996,0.0028604118993135,0.0028604118993135,0.005720823798626999,0.0028604118993135015,0.008867276887871848,-0.0051487414187643,-0.011441647597253997,-0.003718535469107551,-0.0025743707093821514,-0.0005720823798627002
King St E / Jarvis St,-0.015316205533596831,-0.0014822134387351778,-1.5084551965015713e-19,0.001976284584980237,0.0014822134387351778,0.0004940711462450591,-0.02618577075098813,0.11561264822134391,0.12994071146245048,0.01679841897233201,0.032114624505928835,0.04001976284584978,0.02025691699604742,0.007411067193675889,-0.04545454545454544,0.0004940711462450591,-0.026679841897233186,-0.00839920948616601,0.05039525691699608,0.001976284584980237,0.017786561264822125,0.0034584980237154154,-0.014822134387351773,-0.020750988142292478
Simcoe St / Queen St W,-0.006642512077294681,-0.0040257648953301115,-0.002214170692431562,-0.006038647342995165,-0.002012882447665056,0.007447665056360702,-0.0008051529790660219,0.0008051529790660243,0.14995974235104775,0.06682769726247954,0.028985507246376878,0.01147342995169081,0.00140901771336554,0.011473429951690811,-0.002415458937198067,0.0040257648953301115,-0.04951690821256039,-0.06380837359098201,-0.040257648953301244,-0.0235507246376812,-0.03421900161030605,-0.0030193236714975836,-0.011473429951690811,-0.00966183574879226
Bay St / College St (East Side),0.0009057971014492752,-0.0031702898550724627,0.008605072463768113,0.004528985507246376,0.004076086956521739,-0.002264492753623188,0.0013586956521739139,0.16757246376811502,0.09510869565217403,-0.13179347826086915,-0.07653985507246394,-0.04302536231884052,-0.00769927536231884,-0.015398550724637684,-0.006793478260869565,-0.03034420289855071,-0.11231884057971002,0.11548913043478244,-0.02807971014492753,0.002717391304347827,0.012228260869565214,-0.003170289855072464,0.005887681159420289,0.008152173913043476
Danforth Ave / Coxwell Ave,-0.0018115942028985505,-0.0018115942028985505,0.0,-0.0003623188405797103,0.00036231884057971015,-0.0014492753623188406,-0.019927536231884084,0.0018115942028985503,-0.011594202898550725,-0.009420289855072463,0.0025362318840579704,0.0039855072463768106,0.005797101449275362,-0.003985507246376811,0.0018115942028985505,0.0025362318840579713,0.0025362318840579713,0.01920289855072466,0.006159420289855072,-0.002173913043478261,0.00036231884057970966,0.0007246376811594201,0.0007246376811594204,-0.0014492753623188406
Dundas St E / Parliament St,0.014492753623188415,0.004710144927536231,0.006159420289855072,0.008695652173913044,-0.0003623188405797103,0.0014492753623188406,-0.035869565217391285,-0.0974637681159418,-0.21630434782608857,-0.11159420289855045,-0.029710144927536233,-0.026449275362318853,-0.01594202898550726,0.0036231884057971006,-0.007246376811594202,0.010507246376811594,0.08442028985507227,0.1949275362318846,0.08659420289855053,0.03768115942028983,0.020652173913043505,0.014492753623188415,0.03804347826086953,0.017391304347826105
College St / Major St,0.002964426877470356,-0.012351778656126479,-0.014328063241106715,-0.006422924901185771,-0.0024703557312252965,-0.0009881422924901185,-0.009881422924901183,-0.06521739130434799,-0.01136363636363636,-0.03754940711462448,-1.0559186375511e-18,0.04693675889328063,0.0385375494071146,-0.0029644268774703542,0.013833992094861655,-0.003952569169960477,1.0559186375511e-18,0.02816205533596836,-0.02322134387351777,-0.027173913043478246,-0.006422924901185773,-0.017292490118577065,-0.0004940711462450595,-0.0014822134387351778
HTO Park (Queens Quay W),0.000201288244766505,0.0034219001610305954,0.002818035426731079,-0.0006038647342995169,0.0006038647342995169,0.012077294685990331,0.00020128824476650564,-0.002415458937198068,-0.026368760064412293,0.009863123993558766,0.008856682769726239,0.022141706924315656,0.027375201288244826,0.017310789049919503,0.022342995169082162,0.005837359098228659,0.03059581320450893,0.023349436392914695,0.0060386473429951655,0.004428341384863122,-0.0016103059581320455,0.0008051529790660219,0.0010064412238325274,0.0026167471819645736
