,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Summerhill Station,0.0014943960149439604,-0.00099626400996264,-0.00074719800747198,0.0002490660024906601,-0.00099626400996264,-0.0012453300124533003,-0.006226650062266499,-0.00398505603985056,-0.023661270236612703,-0.0004981320049813218,-0.010211706102117055,-0.006973848069738478,-0.010460772104607715,-0.008717310087173098,0.006226650062266499,-0.0012453300124533003,-0.008219178082191777,-0.028642590286425948,-0.010958904109589036,-0.010211706102117055,-0.002988792029887921,-0.02092154420921543,-0.009464508094645078,-0.001992528019925281
Union Station,-0.0027397260273972577,-0.002130898021308979,-0.006900050735667174,-0.006088280060882797,0.0025367833587011646,0.010350076103500775,0.03378995433789937,-0.14672754946727806,-0.04931506849315047,-0.014408929477422661,0.017351598173516024,-0.06971080669710843,-0.06118721461187227,-0.009233891425672254,0.015423642820903131,0.12460679857940324,0.28269913749366443,0.16905124302384894,0.056823947234906136,0.066768138001015,0.16367326230340232,0.1238964992389669,0.024251648909183174,-0.009335362760020303
Beverly  St / Dundas St W,-0.01095890410958906,-0.00011911852293031581,0.0004764740917212625,0.003573555687909468,0.0014294222751637877,-0.0014294222751637872,-0.006551518761167363,-0.007623585467540208,0.03645026801667643,0.0004764740917212628,0.005122096486003571,0.01441334127456823,0.018939845145920245,-0.004288266825491362,-0.004883859440142939,0.003335318642048837,0.013817748659916649,0.015128052412150128,0.005598570577724832,-0.0022632519356759967,-0.015723645026801708,-0.013103037522334752,0.019654556283502142,0.003335318642048837
East Liberty St / Pirandello St,0.01283345349675559,0.013266041816870945,0.011535688536409527,0.008651766402307142,0.001009372746935833,0.0030281182408074966,-0.012689257390050472,-0.05493871665465047,-0.17505407354001798,-0.03792357606344616,-0.022782984859408748,-0.036481614996394976,-0.08464311463590582,-0.03518385003604891,-0.013410237923576063,0.0027397260273972586,0.0807498197548675,0.1170872386445585,0.023071377072818984,0.005767844268204755,0.04210526315789458,0.057822638788752934,0.03287671232876702,0.015140591204037481
Lakeshore Blvd W / The Boulevard Club,-0.0015861571737563088,-0.00014419610670511894,0.00014419610670511894,0.0,0.0,0.00014419610670511894,0.00014419610670511894,0.0007209805335255948,0.000865176640230714,0.0,0.00259552992069214,0.0005767844268204761,0.005912040374909874,-0.0002883922134102376,0.0014419610670511893,0.0014419610670511893,0.0028839221341023773,0.0014419610670511898,0.004470079307858685,-0.00259552992069214,-0.005767844268204755,-0.0018745493871665463,-0.001297764960346071,-0.0002883922134102379
King St E / Jarvis St,-0.008717310087173098,-0.00448318804483188,0.0037359900373599,0.0004981320049813201,-0.009464508094645076,-0.0022415940224159406,-0.015193026151930253,0.05803237858032381,0.06450809464508091,0.011706102117061015,0.0037359900373598984,0.04856787048567883,0.06450809464508091,0.030386052303860583,-0.004483188044831878,0.019427148194271472,0.0004981320049813218,0.005230386052303861,0.03212951432129522,0.00024906600249065996,0.01892901618929015,0.0024906600249066007,-0.010709838107098376,-0.01967621419676213
Simcoe St / Queen St W,-0.008523592085235928,-0.0013191273465246063,-0.006900050735667174,-0.005276509386098421,-0.006392694063926938,0.0019279553526128856,-0.0015220700152207003,0.0014205986808726544,0.07498731608320701,0.03439878234398764,0.014307458143074613,0.00984271943176054,0.022323693556570323,0.018264840182648453,-0.0005073566717402342,0.00355149670218163,-0.023338406900050773,-0.0399797057331301,-0.021308980213089863,-0.012379502790461717,-0.03226788432267871,-0.01593099949264337,-0.00984271943176054,-0.0040588533739218625
Bay St / College St (East Side),-0.0037775010377750105,0.009111664591116637,0.0030925695309256956,0.00552096305520963,0.005790784557907844,-0.00014528850145288484,0.0014321295143212944,0.08372768783727644,0.047945205479452115,-0.07042341220423387,-0.046056454960564645,0.040826068908260904,0.06062681610626817,0.022872561228725614,-0.02758405977584063,-0.03821087588210886,-0.06384391863843902,0.04601494396014954,-0.010668327106683277,-0.023536737235367373,-0.06407222914072228,-0.030489829804898356,-0.008239933582399326,0.0006226650062266489
Danforth Ave / Coxwell Ave,-0.0010958904109589038,-0.001095890410958904,0.001095890410958904,-0.001643835616438356,-0.0001826484018264841,-0.0007305936073059361,-0.010045662100456635,0.0009132420091324198,-0.005844748858447489,-0.005114155251141552,-0.0025570776255707762,0.001278538812785388,-0.0027397260273972603,-0.00748858447488585,0.004931506849315068,0.005844748858447489,0.004748858447488584,0.015342465753424657,0.0007305936073059361,-0.003287671232876712,0.0014611872146118718,0.008401826484018273,0.004018264840182648,-0.0007305936073059359
Dundas St E / Parliament St,0.021917808219178058,0.005296803652968036,0.006575342465753427,0.01114155251141554,0.003470319634703196,0.004383561643835616,-0.01662100456621004,-0.048219178082191665,-0.10977168949771775,-0.05753424657534232,-0.01936073059360729,-0.02264840182648399,-0.06757990867579891,-0.048584474885844636,-0.02301369863013696,0.00018264840182648348,0.040365296803652875,0.09844748858447516,0.0434703196347031,0.02264840182648399,0.030319634703196294,0.04876712328767112,0.059908675799086604,0.03415525114155244
College St / Major St,0.0014943960149439604,-0.006226650062266499,-0.007222914072229138,-0.0032378580323785804,-0.0012453300124533003,-0.00049813200498132,-0.004981320049813199,-0.0328767123287672,-0.005728518057285179,-0.01892901618929015,-5.322987104367189e-19,0.023661270236612703,0.01942714819427147,-0.0014943960149439595,0.006973848069738478,-0.001992528019925281,5.322987104367189e-19,0.014196762141967611,-0.011706102117061013,-0.013698630136986294,-0.0032378580323785813,-0.008717310087173098,-0.0002490660024906601,-0.00074719800747198
HTO Park (Queens Quay W),0.00010147133434804636,0.0017250126839167931,0.0014205986808726533,-0.00030441400304414,0.00030441400304414,0.006088280060882797,0.00010147133434804668,-0.0012176560121765604,-0.013292744799594141,0.004972095383054283,0.0044647387113140495,0.011161846778285153,0.013800101471334378,0.008726534753932022,0.0112633181126332,0.0029426686960933516,0.015423642820903131,0.011770674784373434,0.0030441400304413984,0.0022323693556570256,-0.0008117706747843736,0.0004058853373921864,0.000507356671740233,0.001319127346524607
Bathurst St / Lennox St,-0.0023071377072819022,-0.004325883201153566,-0.007642393655371307,-0.0040374909877433285,-0.0023071377072819027,-0.0010093727469358328,0.0015861571737563088,-0.02739726027397253,-0.013554434030281181,-0.0040374909877433285,-0.0036049026676279717,-0.00692141312184571,-0.0184571016582552,-0.016438356164383546,-0.006056236481614993,-0.009228550829127621,0.007354001441961068,0.004181687094448446,0.012256669069935116,0.008507570295602023,0.003460706560922853,0.0030281182408074966,-0.0007209805335255944,-0.0036049026676279712
Queens Quay W / Lower Simcoe St,0.0007209805335255951,0.006633020908435471,-0.0020187454938716642,-0.0023071377072819027,-0.0031723143475126153,-0.008507570295602023,-0.00014419610670511864,-0.02076423936553709,-0.025234318673395758,-0.03460706560922844,0.00014419610670511927,0.003172314347512615,0.004037490987743325,-0.02263878875270363,-0.00014419610670511927,0.009661139149242978,0.018889689978370552,0.039653929343907574,0.012689257390050472,0.0028839221341023778,0.01917808219178079,0.03604902667627962,0.017591925018024493,0.005623648161499635
